speaker,timestamp,text,source,date,topics
Donald Trump,07:42,I'm not allowed to respond to him?,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,general_politics
Dana Bash,13:37,"This is the first presidential election since the Supreme Court overturned Roe v. Wade. Former President Trump, you take credit for the decision to overturn Roe v. Wade, which returned the issue of abortion to the states.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"abortion,elections"
Donald Trump,14:01,Correct.,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,general_response
Dana Bash,14:02,"However, the federal government still plays a role in whether or not women have access to abortion pills. As president, would you block abortion medication?",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,abortion
Donald Trump,14:18,"First of all, the Supreme Court just approved the abortion bill and I agree with their decision to have done that, and I will not block it.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"abortion,civil_rights"
Dana Bash,16:19,Thank you. President Biden?,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Joe Biden,16:20,"It's been a terrible thing what you've done. The fact is that the vast majority of constitutional scholars supported Roe when it was decided, supported Roe.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"abortion,civil_rights"
Jake Tapper,20:45,"Let's turn now to the issue of immigration and border security. President Biden, a record number of migrants have illegally crossed the southern border on your watch, overwhelming border states and overburdening cities such as New York and Chicago.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,immigration
Joe Biden,21:05,Because we worked very hard to get a bipartisan agreement that not only changed all of that and made sure that we are in a situation where you had no circumstance where they could come across the border with the number of border police there are now.,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"immigration,border"
Donald Trump,22:05,"I really don't know what he said at the end of that sentence, I don't think he knows what he said either. Look, we had the safest border in the history of our country.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"immigration,crime"
Jake Tapper,39:31,"Let's turn to the issue of democracy. Former President Trump, I want to ask you about January 6th, 2021 after you rallied your supporters that day, some of them stormed the Capitol to stop the constitutionally mandated counting of electoral votes.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Donald Trump,39:58,"Well, I don't think too many believe that. And let me tell you about January 6th. On January 6th, we had a great border, nobody coming through, very few.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"immigration,crime"
Joe Biden,41:58,"Look, he encouraged those folks to go up on Capitol Hill, number one. I sat in the dining room off in the Oval Office, he sat there for three hours watching.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"crime,general_politics"
Jake Tapper,51:41,"Thank you, President Biden. We're going to be right back with more from the CNN Presidential Debate.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Dana Bash,55:32,Welcome back to the CNN Presidential Debate live from Georgia. Let's talk about persistent challenges you both faced in your first terms.,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Joe Biden,56:10,"They acknowledge they made a lot of progress, number one. The facts of the matter is there's more small Black businesses that have been started than any time in history.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"economy,civil_rights"
Donald Trump,58:13,And he caused the inflation. He's blaming inflation and he's right. It's been very bad. He caused the inflation and it's killing Black families and Hispanic families.,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"economy,inflation"
Dana Bash,01:00:23,Thank you. Another persistent challenge is the climate crisis. 2023 was the hottest year in recorded history.,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Donald Trump,01:00:50,"Well, let me just go back to what he said about the police, how close the police are to him. Almost every police group in the nation from every state is supporting Donald J. Trump.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"crime,law enforcement"
